"Mcode","McodeDescription","ParentMCode","DiseasePath","OmniDisease_ID","Active_Flag"
"MD-0795","Large cell carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Large cell carcinoma","OmniDx_0039",-1
"MD-0796","Lymphadenoma","MD-0170","Salivary Glands / Benign Epithelial Tumor / Lymphadenoma",,0
"MD-0797","Lymphoepithelial carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Lymphoepithelial carcinoma","OmniDx_0039",-1
"MD-0798","Metastasizing pleomorphic adenoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Metastasizing pleomorphic adenoma","OmniDx_0039",-1
"MD-0799","Mucinous adenocarcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Mucinous adenocarcinoma","OmniDx_0039",-1
"MD-0800","Mucoepidermoid carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Mucoepidermoid carcinoma","OmniDx_0039",-1
"MD-0801","Myoepithelial carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Myoepithelial carcinoma","OmniDx_0039",-1
"MD-0802","Myoepithelioma","MD-0170","Salivary Glands / Benign Epithelial Tumor / Myoepithelioma",,0
"MD-0803","Oncocytic carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Oncocytic carcinoma","OmniDx_0039",-1
"MD-0804","Oncocytoma","MD-0170","Salivary Glands / Benign Epithelial Tumor / Oncocytoma",,0
"MD-0805","Pleomorphic adenoma","MD-0170","Salivary Glands / Benign Epithelial Tumor / Pleomorphic adenoma",,0
"MD-0806","Polymorphous low-grade adenocarcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Polymorphous low-grade adenocarcinoma","OmniDx_0039",-1
"MD-0807","Salivary duct carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Salivary duct carcinoma","OmniDx_0039",-1
"MD-0808","Sebaceous adenoma","MD-0170","Salivary Glands / Benign Epithelial Tumor / Sebaceous adenoma",,0
"MD-0809","Sebaceous carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Sebaceous carcinoma","OmniDx_0039",-1
"MD-0810","Sebaceous lymphadenocarcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Sebaceous lymphadenocarcinoma","OmniDx_0039",-1
"MD-0811","Sialoblastoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Sialoblastoma","OmniDx_0039",-1
"MD-0812","Small cell carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Small cell carcinoma","OmniDx_0063",-1
"MD-0813","Squamous cell carcinoma","MD-0172","Salivary Glands / Malignant Epithelial Tumor / Squamous cell carcinoma","OmniDx_0071",-1
"MD-0814","Warthin tumor","MD-0170","Salivary Glands / Benign Epithelial Tumor / Warthin tumor",,0
"MD-0815","Angioleiomyoma","MD-0182","Soft Tissue / Smooth Muscle Tumours / Angioleiomyoma",,0
"MD-0816","Benign","MD-0176","Soft Tissue / Adipocytic Tumours / Benign",,0
"MD-0817","Benign","MD-0178","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Benign",,0
"MD-0818","Benign","MD-0181","Soft Tissue / Skeletal Muscle Tumours / Benign",,0
"MD-0819","Benign","MD-0183","Soft Tissue / So-Called Fibrohistiocytic Tumours / Benign","OmniDx_0068",-1
"MD-0820","Benign","MD-0185","Soft Tissue / Tumours Of Uncertain Differentiation / Benign",,0
"MD-0821","Benign","MD-0186","Soft Tissue / Vascular Tumours / Benign",,-1
"MD-0822","Deep leiomyoma","MD-0182","Soft Tissue / Smooth Muscle Tumours / Deep leiomyoma",,0
"MD-0823","Extraskeletal osteosarcoma","MD-0177","Soft Tissue / Chondro-Osseous Tumours / Extraskeletal osteosarcoma","OmniDx_0068",-1
"MD-0824","Genital leiomyoma","MD-0182","Soft Tissue / Smooth Muscle Tumours / Genital leiomyoma",,0
"MD-0825","Glomus tumour (and variants)","MD-0180","Soft Tissue / Pericytic (Perivascular) Tumours / Glomus tumour (and variants)","OmniDx_0068",-1
"MD-0826","Intermediate (locally aggressive)","MD-0176","Soft Tissue / Adipocytic Tumours / Intermediate (locally aggressive)",,0
"MD-0827","Intermediate (locally aggressive)","MD-0178","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (locally aggressive)","OmniDx_0068",-1
"MD-0828","Intermediate (locally aggressive)","MD-0186","Soft Tissue / Vascular Tumours / Intermediate (locally aggressive)","OmniDx_0068",-1
"MD-0829","Intermediate (rarely metastasizing)","MD-0178","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (rarely metastasizing)","OmniDx_0068",-1
"MD-0830","Intermediate (rarely metastasizing)","MD-0183","Soft Tissue / So-Called Fibrohistiocytic Tumours / Intermediate (rarely metastasizing)","OmniDx_0068",-1
"MD-0831","Intermediate (rarely metastasizing)","MD-0185","Soft Tissue / Tumours Of Uncertain Differentiation / Intermediate (rarely metastasizing)","OmniDx_0068",-1
"MD-0832","Intermediate (rarely metastasizing)","MD-0186","Soft Tissue / Vascular Tumours / Intermediate (rarely metastasizing)",,-1
"MD-0833","Leiomyosarcoma (excluding skin)","MD-0182","Soft Tissue / Smooth Muscle Tumours / Leiomyosarcoma (excluding skin)",,0
"MD-0834","Malignant","MD-0176","Soft Tissue / Adipocytic Tumours / Malignant","OmniDx_0046",-1
"MD-0835","Malignant","MD-0178","Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant","OmniDx_0068",-1
"MD-0836","Malignant","MD-0181","Soft Tissue / Skeletal Muscle Tumours / Malignant","OmniDx_0068",-1
"MD-0837","Malignant","MD-0183","Soft Tissue / So-Called Fibrohistiocytic Tumours / Malignant","OmniDx_0068",-1
"MD-0838","Malignant","MD-0185","Soft Tissue / Tumours Of Uncertain Differentiation / Malignant","OmniDx_0068",-1
"MD-0839","Malignant","MD-0186","Soft Tissue / Vascular Tumours / Malignant",,-1
"MD-0840","Malignant peripheral nerve sheath tumour (MPNST)","MD-0184","Soft Tissue / Tumours of peripheral nerves / Malignant peripheral nerve sheath tumour (MPNST)","OmniDx_0068",-1
"MD-0841","Mesenchymal chondrosarcoma","MD-0177","Soft Tissue / Chondro-Osseous Tumours / Mesenchymal chondrosarcoma","OmniDx_0068",-1
"MD-0842","Myopericytoma","MD-0180","Soft Tissue / Pericytic (Perivascular) Tumours / Myopericytoma","OmniDx_0068",-1
"MD-0843","Neurofibroma","MD-0184","Soft Tissue / Tumours of peripheral nerves / Neurofibroma","OmniDx_0068",-1
"MD-0844","Perineurioma","MD-0184","Soft Tissue / Tumours of peripheral nerves / Perineurioma","OmniDx_0068",-1
"MD-0845","Schwannoma","MD-0184","Soft Tissue / Tumours of peripheral nerves / Schwannoma","OmniDx_0068",-1
"MD-0846","Soft tissue chondroma","MD-0177","Soft Tissue / Chondro-Osseous Tumours / Soft tissue chondroma","OmniDx_0068",-1
"MD-0847","Acanthomas","MD-0188","Skin / Keratinocytic tumors / Acanthomas","OmniDx_0072",-1
"MD-0848","Actin keratosis","MD-0188","Skin / Keratinocytic tumors / Actin keratosis",,0
"MD-0849","Basal cell carcinoma","MD-0188","Skin / Keratinocytic tumors / Basal cell carcinoma","OmniDx_0011",-1
"MD-0850","Bowen disease","MD-0188","Skin / Keratinocytic tumors / Bowen disease","OmniDx_0072",-1
"MD-0851","Ewing sarcoma","MD-0189","Skin / Neural Tumors / Ewing sarcoma","OmniDx_0068",-1
"MD-0852","Granular cell tumor","MD-0189","Skin / Neural Tumors / Granular cell tumor","OmniDx_0068",-1
"MD-0853","Merkel cell carcinoma","MD-0189","Skin / Neural Tumors / Merkel cell carcinoma","OmniDx_0063",-1
"MD-0854","Nerve sheath myxoma","MD-0189","Skin / Neural Tumors / Nerve sheath myxoma","OmniDx_0068",-1
"MD-0855","Primitive neuroectodermal tumor (PNET)","MD-0189","Skin / Neural Tumors / Primitive neuroectodermal tumor (PNET)","OmniDx_0068",-1
"MD-0856","Squamous cell carcinoma","MD-0188","Skin / Keratinocytic tumors / Squamous cell carcinoma","OmniDx_0072",-1
"MD-0857","Tumors with apocrine and eccrine differentiation","MD-0187","Skin / Appendageal tumors / Tumors with apocrine and eccrine differentiation",,-1
"MD-0858","Tumors with follicular differentiation","MD-0187","Skin / Appendageal tumors / Tumors with follicular differentiation",,-1
"MD-0859","Tumors with sebacceous differentiation","MD-0187","Skin / Appendageal tumors / Tumors with sebacceous differentiation",,-1
"MD-0860","Verrucas","MD-0188","Skin / Keratinocytic tumors / Verrucas",,0
"MD-0861","Carcinoid (well differentiated endocrine neoplasm)","MD-0191","Stomach / Epithelial tumors / Carcinoid (well differentiated endocrine neoplasm)","OmniDx_0063",-1
"MD-0862","Carcinoma","MD-0191","Stomach / Epithelial tumors / Carcinoma","OmniDx_0009",-1
"MD-0863","GI stromal tumor","MD-0194","Stomach / Non-epithelial tumors / GI stromal tumor","OmniDx_0068",-1
"MD-0864","Glomus tumor","MD-0194","Stomach / Non-epithelial tumors / Glomus tumor","OmniDx_0068",-1
"MD-0865","Granular cell tumor","MD-0194","Stomach / Non-epithelial tumors / Granular cell tumor","OmniDx_0068",-1
"MD-0866","Intraepithelial neoplasia - Adenoma","MD-0191","Stomach / Epithelial tumors / Intraepithelial neoplasia - Adenoma",,0
"MD-0867","Kaposi sarcoma","MD-0194","Stomach / Non-epithelial tumors / Kaposi sarcoma","OmniDx_0042",-1
"MD-0868","Leiomyoma","MD-0194","Stomach / Non-epithelial tumors / Leiomyoma","OmniDx_0068",-1
"MD-0869","Leiomyosarcoma","MD-0194","Stomach / Non-epithelial tumors / Leiomyosarcoma","OmniDx_0068",-1
"MD-0870","Other Non-epithelial tumors","MD-0194","Stomach / Non-epithelial tumors / Other Non-epithelial tumors","OmniDx_0068",-1
"MD-0871","Schwannoma","MD-0194","Stomach / Non-epithelial tumors / Schwannoma","OmniDx_0068",-1
"MD-0872","Adenocarcinoma","MD-0207","Testicular / Tumors of the paratesticular structures / Adenocarcinoma","OmniDx_0073",-1
"MD-0873","Adenoma","MD-0206","Testicular / Tumor of the collecting ducts and rete / Adenoma",,0
"MD-0874","Adenomatoid tumor","MD-0207","Testicular / Tumors of the paratesticular structures / Adenomatoid tumor","OmniDx_0073",-1
"MD-0875","Benign mesothelioma","MD-0207","Testicular / Tumors of the paratesticular structures / Benign mesothelioma","OmniDx_0073",-1
"MD-0876","Carcinoid tumor","MD-0199","Testicular / Miscellaneous tumor of the testis / Carcinoid tumor","OmniDx_0073",-1
"MD-0877","Carcinoma","MD-0206","Testicular / Tumor of the collecting ducts and rete / Carcinoma","OmniDx_0073",-1
"MD-0878","Choriocarcinoma and tetratoma/embryonal carcinoma","MD-0204","Testicular / Tumor of more than one histological type (mixed form) / Choriocarcinoma and tetratoma|embryonal carcinoma","OmniDx_0073",-1
"MD-0879","Dermoid cyst","MD-0203","Testicular / Teratoma / Dermoid cyst","OmniDx_0073",-1
"MD-0880","Desmoplastic small round tumor","MD-0207","Testicular / Tumors of the paratesticular structures / Desmoplastic small round tumor","OmniDx_0073",-1
"MD-0881","Embryonal carcinoma","MD-0205","Testicular / Tumor of one histological type / Embryonal carcinoma","OmniDx_0073",-1
"MD-0882","Gem Cell Tumor Other types","MD-0196","Testicular / Germ cell tumor / Gem Cell Tumor Other types",,0
"MD-0883","Granulosa cell tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Granulosa cell tumor","OmniDx_0073",-1
"MD-0884","Incompletely differentiated","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Incompletely differentiated","OmniDx_0073",-1
"MD-0885","Intratubular germ cell neoplasm, unclassified","MD-0196","Testicular / Germ cell tumor / Intratubular germ cell neoplasm, unclassified",,0
"MD-0886","Leydig cell tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Leydig cell tumor","OmniDx_0073",-1
"MD-0887","Malignant Leydig cell tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Malignant Leydig cell tumor","OmniDx_0073",-1
"MD-0888","Malignant mesothelioma","MD-0207","Testicular / Tumors of the paratesticular structures / Malignant mesothelioma","OmniDx_0073",-1
"MD-0889","Malignant Sertoli cell tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Malignant Sertoli cell tumor","OmniDx_0073",-1
"MD-0890","Malignant sex cord/gonadal stromal tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Malignant sex cord|gonadal stromal tumor","OmniDx_0073",-1
"MD-0891","Melanocytic neuroectodermal tumor","MD-0207","Testicular / Tumors of the paratesticular structures / Melanocytic neuroectodermal tumor","OmniDx_0073",-1
"MD-0892","Mixed embryonal carcinoma and teratoma","MD-0204","Testicular / Tumor of more than one histological type (mixed form) / Mixed embryonal carcinoma and teratoma","OmniDx_0073",-1
"MD-0893","Mixed teratoma and seminoma","MD-0204","Testicular / Tumor of more than one histological type (mixed form) / Mixed teratoma and seminoma","OmniDx_0073",-1
"MD-0894","Monodermal teratoma","MD-0203","Testicular / Teratoma / Monodermal teratoma","OmniDx_0073",-1
"MD-0895","Nephroblastoma","MD-0199","Testicular / Miscellaneous tumor of the testis / Nephroblastoma","OmniDx_0073",-1
"MD-0896","Other Tumor of more than one histological type (mixed form)","MD-0204","Testicular / Tumor of more than one histological type (mixed form) / Other Tumor of more than one histological type (mixed form)","OmniDx_0073",-1
"MD-0897","Papillary cyctadenoma of the epididymis","MD-0207","Testicular / Tumors of the paratesticular structures / Papillary cyctadenoma of the epididymis",,0
"MD-0898","Paraganglioma","MD-0199","Testicular / Miscellaneous tumor of the testis / Paraganglioma","OmniDx_0063",-1
"MD-0899","Seminoma","MD-0205","Testicular / Tumor of one histological type / Seminoma","OmniDx_0073",-1
"MD-0900","Sertoli cell tumor","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Sertoli cell tumor","OmniDx_0073",-1
"MD-0901","Sex cord/gonadal stromal tumor, mixed forms","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Sex cord|gonadal stromal tumor, mixed forms","OmniDx_0073",-1
"MD-0902","Sex cord/gonadal stromal tumors","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Sex cord|gonadal stromal tumors","OmniDx_0073",-1
"MD-0903","Spermatocytic seminoma","MD-0205","Testicular / Tumor of one histological type / Spermatocytic seminoma","OmniDx_0073",-1
"MD-0904","Teratoma with somatic type malignancies","MD-0203","Testicular / Teratoma / Teratoma with somatic type malignancies","OmniDx_0073",-1
"MD-0905","Trophoblastic tumor","MD-0205","Testicular / Tumor of one histological type / Trophoblastic tumor","OmniDx_0073",-1
"MD-0906","Tumors containing both germ cell and sex cord/gonadal stromal elements","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Tumors containing both germ cell and sex cord|gonadal stromal elements","OmniDx_0073",-1
"MD-0907","Tumors of ovarian epithelial types","MD-0199","Testicular / Miscellaneous tumor of the testis / Tumors of ovarian epithelial types","OmniDx_0073",-1
"MD-0908","Tumors of the thecoma/fibroma group","MD-0202","Testicular / Sex cord|gonadal stromal tumors / Tumors of the thecoma|fibroma group","OmniDx_0073",-1
"MD-0909","Yolk sac tumor","MD-0205","Testicular / Tumor of one histological type / Yolk sac tumor","OmniDx_0073",-1
"MD-0910","Angiosarcoma","MD-0209","Thyroid / Other thyroid tumors / Angiosarcoma","OmniDx_0068",-1
"MD-0911","Carcinoma showing thymus-like differentiation","MD-0212","Thyroid / Thyroid carcinomas / Carcinoma showing thymus-like differentiation","OmniDx_0007",-1
"MD-0912","Carcinoma, type cannot be determined","MD-0212","Thyroid / Thyroid carcinomas / Carcinoma, type cannot be determined","OmniDx_0007",-1
"MD-0913","Ectopic thymoma","MD-0209","Thyroid / Other thyroid tumors / Ectopic thymoma","OmniDx_0074",-1
"MD-0914","Folicular adenoma","MD-0211","Thyroid / Thyroid adenoma and related tumors / Folicular adenoma","OmniDx_0007",-1
"MD-0915","Follicular adenoma","MD-0209","Thyroid / Other thyroid tumors / Follicular adenoma","OmniDx_0007",-1
"MD-0916","Follicular carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Follicular carcinoma","OmniDx_0007",-1
"MD-0917","Follicular carcinoma,variant","MD-0212","Thyroid / Thyroid carcinomas / Follicular carcinoma,variant",,0
"MD-0918","Follicular dendritic cell tumor","MD-0209","Thyroid / Other thyroid tumors / Follicular dendritic cell tumor",,0
"MD-0919","Hyalinizing trabecular tumor","MD-0211","Thyroid / Thyroid adenoma and related tumors / Hyalinizing trabecular tumor","OmniDx_0007",-1
"MD-0920","Hyperplasia","MD-0209","Thyroid / Other thyroid tumors / Hyperplasia","OmniDx_0007",-1
"MD-0921","Langerhans cell histocytosis","MD-0209","Thyroid / Other thyroid tumors / Langerhans cell histocytosis",,0
"MD-0922","Medullary carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Medullary carcinoma","OmniDx_0007",-1
"MD-0923","Mixed medullary and follicullar cell carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Mixed medullary and follicullar cell carcinoma","OmniDx_0007",-1
"MD-0924","Mucinous carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Mucinous carcinoma","OmniDx_0007",-1
"MD-0925","Mucoepidermoid carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Mucoepidermoid carcinoma","OmniDx_0007",-1
"MD-0926","Papillary carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Papillary carcinoma","OmniDx_0007",-1
"MD-0927","Papillary carcinoma, variant","MD-0212","Thyroid / Thyroid carcinomas / Papillary carcinoma, variant",,0
"MD-0928","Paraganglioma","MD-0209","Thyroid / Other thyroid tumors / Paraganglioma","OmniDx_0063",-1
"MD-0929","Parathyroid adenoma","MD-0210","Thyroid / Parathyroid tumors / Parathyroid adenoma","OmniDx_0030",-1
"MD-0930","Parathyroid carcinoma","MD-0210","Thyroid / Parathyroid tumors / Parathyroid carcinoma","OmniDx_0030",-1
"MD-0931","Peripheral nerve sheath tumors","MD-0209","Thyroid / Other thyroid tumors / Peripheral nerve sheath tumors","OmniDx_0068",-1
"MD-0932","Poorly differentiated carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Poorly differentiated carcinoma","OmniDx_0007",-1
"MD-0933","Primary lymphoma and plasmacytoma","MD-0209","Thyroid / Other thyroid tumors / Primary lymphoma and plasmacytoma",,0
"MD-0934","Sclerosing mucoepidermoid carcinoma with eosinophilia","MD-0212","Thyroid / Thyroid carcinomas / Sclerosing mucoepidermoid carcinoma with eosinophilia","OmniDx_0007",-1
"MD-0935","Secondary tumor","MD-0209","Thyroid / Other thyroid tumors / Secondary tumor",,0
"MD-0936","Secondary tumors","MD-0210","Thyroid / Parathyroid tumors / Secondary tumors",,0
"MD-0937","Smooth muscle tumors","MD-0209","Thyroid / Other thyroid tumors / Smooth muscle tumors","OmniDx_0068",-1
"MD-0938","Solitary fibrous tumor","MD-0209","Thyroid / Other thyroid tumors / Solitary fibrous tumor","OmniDx_0068",-1
"MD-0939","Spindle cell tumor with thymus-like differentiation","MD-0212","Thyroid / Thyroid carcinomas / Spindle cell tumor with thymus-like differentiation","OmniDx_0007",-1
"MD-0940","Squamous cell carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Squamous cell carcinoma","OmniDx_0007",-1
"MD-0941","Teratoma","MD-0209","Thyroid / Other thyroid tumors / Teratoma","OmniDx_0007",-1
"MD-0942","Undifferentiated (anaplastic) carcinoma","MD-0212","Thyroid / Thyroid carcinomas / Undifferentiated (anaplastic) carcinoma","OmniDx_0007",-1
"MD-0943","Epithelial tumors","MD-0213","Other Gynecological / Fallopian Tube / Epithelial tumors",,-1
"MD-0944","Epithelial tumors","MD-0215","Other Gynecological / Vagina / Epithelial tumors",,-1
"MD-0945","Epithelial tumors","MD-0216","Other Gynecological / Vulva / Epithelial tumors",,-1
"MD-0946","Germ cell tumors","MD-0213","Other Gynecological / Fallopian Tube / Germ cell tumors","OmniDx_0010",-1
"MD-0947","Hematopoietic and lymphoid tumors","MD-0216","Other Gynecological / Vulva / Hematopoietic and lymphoid tumors",,0
"MD-0948","Lymphoid and hematopoietic tumors","MD-0213","Other Gynecological / Fallopian Tube / Lymphoid and hematopoietic tumors",,0
"MD-0949","Lymphoid and hematopoietic tumros","MD-0215","Other Gynecological / Vagina / Lymphoid and hematopoietic tumros",,0
"MD-0950","Melanocytic tumors","MD-0215","Other Gynecological / Vagina / Melanocytic tumors",,-1
"MD-0951","Melanocytic tumors","MD-0216","Other Gynecological / Vulva / Melanocytic tumors",,-1
"MD-0952","Mesenchymal tumors and tumor-like conditions","MD-0215","Other Gynecological / Vagina / Mesenchymal tumors and tumor-like conditions",,-1
"MD-0953","Mesothelial tumors","MD-0213","Other Gynecological / Fallopian Tube / Mesothelial tumors",,0
"MD-0954","Miscellaneous tumors","MD-0215","Other Gynecological / Vagina / Miscellaneous tumors",,-1
"MD-0955","Miscellaneous tumors","MD-0216","Other Gynecological / Vulva / Miscellaneous tumors",,0
"MD-0956","Mixed epithelial and mesenchymal tumors","MD-0215","Other Gynecological / Vagina / Mixed epithelial and mesenchymal tumors","OmniDx_0024",-1
"MD-0957","Mixed epithelial-mesenchymal tumors","MD-0213","Other Gynecological / Fallopian Tube / Mixed epithelial-mesenchymal tumors","OmniDx_0010",-1
"MD-0958","Secondary tumors","MD-0213","Other Gynecological / Fallopian Tube / Secondary tumors",,0
"MD-0959","Secondary Tumors","MD-0215","Other Gynecological / Vagina / Secondary Tumors",,0
"MD-0960","Secondary tumors","MD-0216","Other Gynecological / Vulva / Secondary tumors",,0
"MD-0961","Soft tissue tumors","MD-0213","Other Gynecological / Fallopian Tube / Soft tissue tumors","OmniDx_0068",-1
"MD-0962","Soft tissue tumors","MD-0216","Other Gynecological / Vulva / Soft tissue tumors",,-1
"MD-0963","Trophoblastic disease","MD-0213","Other Gynecological / Fallopian Tube / Trophoblastic disease","OmniDx_0024",-1
"MD-0964","Adenoma","MD-0217","Small Intestine / Epithelial tumors / Adenoma",,0
"MD-0965","Angiosarcoma","MD-0219","Small Intestine / Non-epithelial tumors / Angiosarcoma","OmniDx_0068",-1
"MD-0966","Carcinoid (well differentiated endocrine neoplasm)","MD-0217","Small Intestine / Epithelial tumors / Carcinoid (well differentiated endocrine neoplasm)","OmniDx_0063",-1
"MD-0967","Carcinoma","MD-0217","Small Intestine / Epithelial tumors / Carcinoma",,-1
"MD-0968","Gastrointestinal stromal tumor","MD-0219","Small Intestine / Non-epithelial tumors / Gastrointestinal stromal tumor","OmniDx_0068",-1
"MD-0969","Hyperplastic (metaplastic)","MD-0220","Small Intestine / Polyps / Hyperplastic (metaplastic)",,0
"MD-0970","Intraepithelial neoplasia (dysplasia) assoc w chronic intraepithelial diseases","MD-0217","Small Intestine / Epithelial tumors / Intraepithelial neoplasia (dysplasia) associated with chronic intraepithelial di",,0
"MD-0971","Juvenile","MD-0220","Small Intestine / Polyps / Juvenile",,0
"MD-0972","Kaposi sarcoma","MD-0219","Small Intestine / Non-epithelial tumors / Kaposi sarcoma","OmniDx_0042",-1
"MD-0973","Leiomyoma","MD-0219","Small Intestine / Non-epithelial tumors / Leiomyoma","OmniDx_0068",-1
"MD-0974","Leiomyosarcoma","MD-0219","Small Intestine / Non-epithelial tumors / Leiomyosarcoma","OmniDx_0068",-1
"MD-0975","Lipoma","MD-0219","Small Intestine / Non-epithelial tumors / Lipoma",,0
"MD-0976","Malignant lymphomas","MD-0219","Small Intestine / Non-epithelial tumors / Malignant lymphomas",,0
"MD-0977","Malignant melanoma","MD-0219","Small Intestine / Non-epithelial tumors / Malignant melanoma","OmniDx_0005",-1
"MD-0978","Mixed carcinoid-adenocarcinoma","MD-0217","Small Intestine / Epithelial tumors / Mixed carcinoid-adenocarcinoma",,0
"MD-0979","Other Epithelial tumors","MD-0217","Small Intestine / Epithelial tumors / Other Epithelial tumors",,0
"MD-0980","Others","MD-0219","Small Intestine / Non-epithelial tumors / Others",,0
"MD-0981","Peutz-Jeghers","MD-0220","Small Intestine / Polyps / Peutz-Jeghers",,0
"MD-0982","Adamantinoma of long bones","MD-0228","Bone / Other tumors / Adamantinoma of long bones","OmniDx_0068",-1
"MD-0983","Benign","MD-0222","Bone / Bone-forming tumors / Benign",,0
"MD-0984","Benign","MD-0223","Bone / Cartilage-forming tumors / Benign",,-1
"MD-0985","Benign","MD-0227","Bone / Other connective tissue tumors / Benign",,-1
"MD-0986","Benign","MD-0229","Bone / Vascular tumors / Benign",,-1
"MD-0987","Chordoma","MD-0228","Bone / Other tumors / Chordoma","OmniDx_0068",-1
"MD-0988","Ewing sarcoma","MD-0225","Bone / Marrow tumors (round cell tumors) / Ewing sarcoma","OmniDx_0068",-1
"MD-0989","Intermediate","MD-0222","Bone / Bone-forming tumors / Intermediate",,-1
"MD-0990","Intermediate","MD-0227","Bone / Other connective tissue tumors / Intermediate",,-1
"MD-0991","Intermediate or Indeterminate","MD-0229","Bone / Vascular tumors / Intermediate or Indeterminate",,-1
"MD-0992","Malignant","MD-0222","Bone / Bone-forming tumors / Malignant","OmniDx_0068",-1
"MD-0993","Malignant","MD-0223","Bone / Cartilage-forming tumors / Malignant","OmniDx_0068",-1
"MD-0994","Malignant","MD-0227","Bone / Other connective tissue tumors / Malignant",,-1
"MD-0995","Malignant","MD-0229","Bone / Vascular tumors / Malignant",,-1
"MD-0996","Malignant lymphoma of bone","MD-0225","Bone / Marrow tumors (round cell tumors) / Malignant lymphoma of bone",,0
"MD-0997","Myeloma","MD-0225","Bone / Marrow tumors (round cell tumors) / Myeloma",,0
"MD-0998","Neurilemoma","MD-0228","Bone / Other tumors / Neurilemoma","OmniDx_0068",-1
"MD-0999","Neurofibroma","MD-0228","Bone / Other tumors / Neurofibroma","OmniDx_0068",-1
"MD-1000","Primitive neuroectodermal tumor of bone (PNET)","MD-0225","Bone / Marrow tumors (round cell tumors) / Primitive neuroectodermal tumor of bone (PNET)","OmniDx_0068",-1
"MD-1001","Adenoma","MD-0243","Appendix / Epithelial tumors / Adenoma",,0
"MD-1002","Angiosarcoma","MD-0245","Appendix / Non-epithelial tumors / Angiosarcoma","OmniDx_0068",-1
"MD-1003","Carcinoid (well differentiated endocrine neoplasm)","MD-0243","Appendix / Epithelial tumors / Carcinoid (well differentiated endocrine neoplasm)","OmniDx_0063",-1
"MD-1004","Carcinoma","MD-0243","Appendix / Epithelial tumors / Carcinoma","OmniDx_0003",-1
"MD-1005","Gastrointestinal stromal tumor","MD-0245","Appendix / Non-epithelial tumors / Gastrointestinal stromal tumor","OmniDx_0068",-1
"MD-1006","Hyperplastic (metaplastic)","MD-0246","Appendix / Polyps / Hyperplastic (metaplastic)",,0
"MD-1007","Intraepithelial neoplasia (dysplasia) assoc w chronic intraepithelial diseases","MD-0243","Appendix / Epithelial tumors / Intraepithelial neoplasia (dysplasia) associated with chronic intraepithelial di",,0
"MD-1008","Kaposi sarcoma","MD-0245","Appendix / Non-epithelial tumors / Kaposi sarcoma","OmniDx_0042",-1
"MD-1009","Leiomyoma","MD-0245","Appendix / Non-epithelial tumors / Leiomyoma","OmniDx_0068",-1
"MD-1010","Leiomyosarcoma","MD-0245","Appendix / Non-epithelial tumors / Leiomyosarcoma","OmniDx_0068",-1
"MD-1011","Lipoma","MD-0245","Appendix / Non-epithelial tumors / Lipoma","OmniDx_0046",-1
"MD-1012","Malignant lymphomas","MD-0245","Appendix / Non-epithelial tumors / Malignant lymphomas",,0
"MD-1013","Malignant melanoma","MD-0245","Appendix / Non-epithelial tumors / Malignant melanoma","OmniDx_0005",-1
"MD-1014","Mixed carcinoid-adenocarcinoma","MD-0243","Appendix / Epithelial tumors / Mixed carcinoid-adenocarcinoma","OmniDx_0003",-1
"MD-1015","Other Epithelial tumors","MD-0243","Appendix / Epithelial tumors / Other Epithelial tumors",,0
